# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  149       5.714072492277e-10       1.454048454505e-13      -6.042187007679e-12       9.805551999815e-16       3.617655803916e-12       6.469087851406e-13      -4.103039945160e-15 
  150       5.757135294557e-10       1.448089306730e-13      -6.049020720687e-12       9.949208200287e-16       3.548581717762e-12       6.371990482721e-13      -4.036930891631e-15 
  151       5.799959596433e-10       1.441553120554e-13      -6.052714046371e-12       1.009422470166e-15       3.481253451521e-12       6.276778630617e-13      -3.970516997325e-15 
  152       5.842533024644e-10       1.434452287889e-13      -6.053226054977e-12       1.024060479426e-15       3.415638655680e-12       6.183426402272e-13      -3.903845026121e-15 
  153       5.884842792882e-10       1.426800251625e-13      -6.050517365340e-12       1.038835151994e-15       3.351697767462e-12       6.091899363874e-13      -3.836961878073e-15 
  154       5.926875693785e-10       1.418611523035e-13      -6.044550184705e-12       1.053746766659e-15       3.289383854018e-12       6.002154348000e-13      -3.769914569768e-15 
  155       5.968618090933e-10       1.409901699188e-13      -6.035288348569e-12       1.068795576274e-15       3.228642455613e-12       5.914139260991e-13      -3.702750214687e-15 
  156       6.010055910835e-10       1.400687480361e-13      -6.022697360506e-12       1.083981807209e-15       3.169411428819e-12       5.827792890329e-13      -3.635516003562e-15 
  157       6.051174634931e-10       1.390986687443e-13      -6.006744432001e-12       1.099305658809e-15       3.111620789698e-12       5.743044712015e-13      -3.568259184738e-15 
  158       6.091959291583e-10       1.380818279354e-13      -5.987398522278e-12       1.114767302847e-15       3.055192556998e-12       5.659814697944e-13      -3.501027044526e-15 
  159       6.132394448065e-10       1.370202370445e-13      -5.964630378139e-12       1.130366882980e-15       3.000040595335e-12       5.578013123285e-13      -3.433866887568e-15 
  160       6.172464202564e-10       1.359160247916e-13      -5.938412573785e-12       1.146104514209e-15       2.946070458388e-12       5.497540373858e-13      -3.366826017193e-15 
  161       6.212153291893e-10       1.347713895920e-13      -5.908719419072e-12       1.161980292959e-15       2.893198741215e-12       5.418310150762e-13      -3.299949944640e-15 
  162       6.251450541544e-10       1.335884484039e-13      -5.875526591506e-12       1.177994329484e-15       2.841413389627e-12       5.340321794712e-13      -3.233276880001e-15 
  163       6.290345706852e-10       1.323693777791e-13      -5.838811547673e-12       1.194146717305e-15       2.790718449273e-12       5.263594019184e-13      -3.166842714290e-15 
  164       6.328828381863e-10       1.311164634929e-13      -5.798553690810e-12       1.210437522342e-15       2.741114969666e-12       5.188142004095e-13      -3.100682719199e-15 
  165       6.366887996461e-10       1.298321020589e-13      -5.754734410035e-12       1.226866782423e-15       2.692600937136e-12       5.113977310831e-13      -3.034831519301e-15 
