# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   65       2.314259209158e-10       3.510425060057e-14      -4.788283956575e-13       0.000000000000e+00       3.131656039526e-11       3.774238531496e-12      -8.520424579784e-15 
   66       2.344442835499e-10       3.668681989019e-14      -5.295987528278e-13       0.000000000000e+00       3.022450394294e-11       3.658643473699e-12      -8.725717065524e-15 
   67       2.374926619726e-10       3.830207254756e-14      -5.820674208929e-13       0.000000000000e+00       2.918115029206e-11       3.547595538336e-12      -8.881314569326e-15 
   68       2.405708367905e-10       3.994893238340e-14      -6.362198881233e-13       0.000000000000e+00       2.818020882061e-11       3.440402827467e-12      -8.997651660577e-15 
   69       2.436799749659e-10       4.162672478508e-14      -6.920395682603e-13       0.000000000000e+00       2.722094455523e-11       3.337048370241e-12      -9.082307399281e-15 
   70       2.468212670079e-10       4.333486327063e-14      -7.495079368069e-13       0.000000000000e+00       2.630357616683e-11       3.237647836147e-12      -9.142883075980e-15 
   71       2.499954133312e-10       4.507273627196e-14      -8.086045798960e-13       0.000000000000e+00       2.542758498343e-11       3.142250828795e-12      -9.188070407238e-15 
   72       2.532025927698e-10       4.683970760744e-14      -8.693071935210e-13       0.000000000000e+00       2.459167686867e-11       3.050837263551e-12      -9.227692277913e-15 
   73       2.564424310904e-10       4.863511695460e-14      -9.315915827665e-13       0.000000000000e+00       2.379374410039e-11       2.963313745183e-12      -9.272743483439e-15 
   74       2.597139695063e-10       5.045828032270e-14      -9.954316610387e-13       0.000000000000e+00       2.303082724909e-11       2.879509945490e-12      -9.335431472104e-15 
   75       2.630156331903e-10       5.230849052543e-14      -1.060799449296e-12       0.000000000000e+00       2.229907705648e-11       2.799174980949e-12      -9.429217087327e-15 
   76       2.663458743537e-10       5.418485795547e-14      -1.127662182097e-12       0.000000000000e+00       2.159471003353e-11       2.722043969338e-12      -9.564915636694e-15 
   77       2.697053064678e-10       5.608579834253e-14      -1.195973018195e-12       0.000000000000e+00       2.091716070159e-11       2.648059718852e-12      -9.738089209606e-15 
   78       2.730949038316e-10       5.800945201023e-14      -1.265678626706e-12       0.000000000000e+00       2.026643758925e-11       2.577185071792e-12      -9.939418626942e-15 
   79       2.765153441645e-10       5.995383253058e-14      -1.336721870892e-12       0.000000000000e+00       1.964216305056e-11       2.509334163962e-12      -1.015839975848e-14 
   80       2.799669909522e-10       6.191682392191e-14      -1.409041748059e-12       0.000000000000e+00       1.904355552059e-11       2.444370241394e-12      -1.038330347897e-14 
   81       2.834498757931e-10       6.389617784670e-14      -1.482573329467e-12       0.000000000000e+00       1.846941177096e-11       2.382103477059e-12      -1.060113562426e-14 
   82       2.869636807440e-10       6.588951080953e-14      -1.557247700226e-12       0.000000000000e+00       1.791808916538e-11       2.322288787581e-12      -1.079759694733e-14 
   83       2.905077206663e-10       6.789430135493e-14      -1.632991899207e-12       0.000000000000e+00       1.738748791524e-11       2.264623649956e-12      -1.095704307442e-14 
   84       2.940813108611e-10       6.990813926652e-14      -1.709737256801e-12       0.000000000000e+00       1.687556144512e-11       2.208819418167e-12      -1.106573104804e-14 
   85       2.976849786718e-10       7.192952676861e-14      -1.787446127999e-12       0.000000000000e+00       1.638198357082e-11       2.154833639575e-12      -1.112226506044e-14 
   86       3.013194213057e-10       7.395720562685e-14      -1.866089501510e-12       0.000000000000e+00       1.590672645563e-11       2.102672427785e-12      -1.112881703441e-14 
   87       3.049851273896e-10       7.598991836857e-14      -1.945639075792e-12       0.000000000000e+00       1.544954833594e-11       2.052319452988e-12      -1.108800897144e-14 
   88       3.086823657917e-10       7.802640971599e-14      -2.026067340090e-12       0.000000000000e+00       1.500998465261e-11       2.003734993970e-12      -1.100292814463e-14 
   89       3.124111744422e-10       8.006542801942e-14      -2.107347655486e-12       0.000000000000e+00       1.458733918231e-11       1.956854990117e-12      -1.087714229149e-14 
   90       3.161713491557e-10       8.210572669045e-14      -2.189454335936e-12       0.000000000000e+00       1.418067516883e-11       1.911590093428e-12      -1.071471480678e-14 
   91       3.199624324522e-10       8.414606563521e-14      -2.272362729320e-12       0.000000000000e+00       1.378880645451e-11       1.867824720516e-12      -1.052021993537e-14 
   92       3.237837023784e-10       8.618521268752e-14      -2.356049298483e-12       0.000000000000e+00       1.341028861150e-11       1.825416104624e-12      -1.029875796507e-14 
   93       3.276344303872e-10       8.822183473139e-14      -2.440483613974e-12       0.000000000000e+00       1.304376167362e-11       1.784230140711e-12      -1.005548235843e-14 
   94       3.315147236207e-10       9.025414922381e-14      -2.525602778639e-12       0.000000000000e+00       1.268905655944e-11       1.744257146709e-12      -9.794066794802e-15 
   95       3.354247892280e-10       9.228022266693e-14      -2.611333288428e-12       0.000000000000e+00       1.234623943237e-11       1.705511841038e-12      -9.518034588556e-15 
   96       3.393646692100e-10       9.429807616897e-14      -2.697598748387e-12       0.000000000000e+00       1.201527093912e-11       1.667997663828e-12      -9.231234586532e-15 
   97       3.433342329343e-10       9.630568536325e-14      -2.784319842674e-12       0.000000000000e+00       1.169600216750e-11       1.631706333986e-12      -8.937849661361e-15 
   98       3.473331696498e-10       9.830098032709e-14      -2.871414304575e-12       0.000000000000e+00       1.138817060404e-11       1.596617406246e-12      -8.642405204766e-15 
   99       3.513609810019e-10       1.002818455009e-13      -2.958796886523e-12       0.000000000000e+00       1.109139609176e-11       1.562697828240e-12      -8.349777620876e-15 
  100       3.554169735467e-10       1.022461196072e-13      -3.046379330116e-12       0.000000000000e+00       1.080517678782e-11       1.529901497553e-12      -8.065202819533e-15 
  101       3.595002512662e-10       1.041915955693e-13      -3.134070336132e-12       0.000000000000e+00       1.052888512131e-11       1.498168818785e-12      -7.794284709599e-15 
  102       3.636097080831e-10       1.061160204308e-13      -3.221775534546e-12       0.000000000000e+00       1.026176375087e-11       1.467426260612e-12      -7.543003692264e-15 
  103       3.677440203751e-10       1.080170952743e-13      -3.309397454550e-12       0.000000000000e+00       1.000292152247e-11       1.437585912849e-12      -7.317725154356e-15 
  104       3.719019304407e-10       1.098925838145e-13      -3.396842026621e-12       0.000000000000e+00       9.751535495748e-12       1.408565503333e-12      -7.123732589818e-15 
  105       3.760831566266e-10       1.117406550592e-13      -3.484039153641e-12       0.000000000000e+00       9.507496810769e-12       1.380352482129e-12      -6.960582997227e-15 
  106       3.802875927627e-10       1.135595870014e-13      -3.570924875676e-12       0.000000000000e+00       9.270844938631e-12       1.352947808703e-12      -6.826136977324e-15 
  107       3.845150239542e-10       1.153476631784e-13      -3.657435127364e-12       0.000000000000e+00       9.041567647487e-12       1.326346049664e-12      -6.717970450842e-15 
  108       3.887651222941e-10       1.171031737850e-13      -3.743505779712e-12       0.000000000000e+00       8.819599224735e-12       1.300535160660e-12      -6.633366938944e-15 
  109       3.930374425746e-10       1.188244167865e-13      -3.829072681895e-12       0.000000000000e+00       8.604818699226e-12       1.275496268268e-12      -6.569309843652e-15 
  110       3.973314179996e-10       1.205096990323e-13      -3.914071703054e-12       0.000000000000e+00       8.397048063452e-12       1.251203451891e-12      -6.522474728276e-15 
  111       4.016463558969e-10       1.221573373685e-13      -3.998438774094e-12       0.000000000000e+00       8.196050495758e-12       1.227623525653e-12      -6.489221597847e-15 
  112       4.059814334294e-10       1.237656597520e-13      -4.082109929482e-12       0.000000000000e+00       8.001528582529e-12       1.204715820289e-12      -6.465587179549e-15 
  113       4.103356933080e-10       1.253330063628e-13      -4.165021349043e-12       0.000000000000e+00       7.813122540399e-12       1.182431965043e-12      -6.447277203148e-15 
